sequential_id,gender,treatment,customer_signup,country,commercial_communications,communications_signup,loyalty_level,loyalty_signup,birth_date,email,total_reservations,average_stay,average_advance_booking,billing,reservation_channel,travel_reason,last_reservation,different_hotels,companion,language_name,age
3.827.530,hombre,Señor,2022-11-25,NO,True,2023-01-08,,,1998-07-05,True,2,1,2,497.19369632,Indirecto,MIXTO,2023-03-07,2.0,Individual,Norwegian,25
4.119.574,hombre,Señor,2022-10-14,ES,True,2022-11-29,,,1972-06-29,True,2,2,28,1793.9000764,Directo,LEISURE,2023-10-16,2.0,Pareja,Spanish,52
5.334.680,mujer,Señora,2022-05-12,SE,True,,,,1987-08-25,True,2,2,10,1171.54138,Mixto Directo,MIXTO,2022-05-17,1.0,Individual,Swedish,36
4.395.911,mujer,Señora,2022-09-09,AR,True,,,,1979-07-29,False,2,1,67,1168.87272772,Indirecto,LEISURE,2022-09-23,1.0,Familia,Spanish,44
2.601.804,hombre,Señor,2023-05-27,FR,True,,,,1979-10-03,False,4,1,11,709.72484036,Indirecto,MIXTO,2023-10-16,3.0,Individual,French,44
3.199.434,hombre,Señor,2023-03-08,IT,True,,,,1990-02-07,True,2,3,17,923.50777344,Indirecto,MIXTO,2024-03-21,2.0,Individual,Italian,34
3.888.931,hombre,Señor,2022-11-15,ES,True,,,,1966-02-12,False,2,1,2,540.89764304,Indirecto,BT,2023-11-03,2.0,Individual,Spanish,58
5.431.390,hombre,Señor,2022-04-27,SI,True,,,,1979-07-20,False,2,1,1,474.457576,Indirecto,LEISURE,2022-04-29,2.0,Familia,Slovenian,44
4.509.927,hombre,Señor,2022-08-26,ES,True,,,,1961-04-14,True,3,1,124,535.79097988,Indirecto,MIXTO_BT,2023-03-12,3.0,Individual,Spanish,63
142.004,mujer,Señora,2024-04-14,FR,True,,,,1956-06-18,False,2,1,101,591.2229848,Indirecto,LEISURE,2024-04-16,2.0,Pareja,French,68
3.402.913,hombre,Señor,2023-02-04,FR,True,,,,1969-09-15,False,3,1,0,477.3958,Indirecto,LEISURE,2024-02-11,3.0,Pareja,French,54
1.273.205,hombre,Señor,2023-11-01,PT,True,2024-04-27,,,1959-04-17,True,4,2,30,1574.99636304,Mixto Directo,MIXTO,2024-03-19,2.0,Individual,Portuguese,65
3.790.735,mujer,Señora,2022-12-02,NL,True,,,,1959-04-16,False,2,3,99,907.6654538,Mixto Directo,LEISURE,2023-10-01,2.0,Pareja,Dutch,65
717.420,hombre,Señor,2024-01-25,3,True,,,,1968-09-13,False,2,2,47,658.47547176,Indirecto,LEISURE,2024-01-29,1.0,Individual,Korean,55
2.268.821,hombre,Señor,2023-07-09,ES,True,2023-08-21,,,1990-11-13,True,2,2,18,688.60618152,Mixto Indirecto,LEISURE,2024-03-31,2.0,Pareja,Spanish,33
